Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.634583276069016,-60.93933304770777,-467.1967773463963,-482.0,-438.226,-459.764
-38.634420100525126,-60.993383623701725,-510.56226108725497,-482.0,-438.226,-459.152
-38.634256924981244,-60.929033081791495,-449.7016103117003,-482.0,-438.226,-458.948
-38.634093749437355,-61.07307079594384,-405.7553645457388,-482.0,-438.226,-458.744
-38.63393057389347,-60.97216394480129,-504.1310968896526,-482.0,-438.226,-457.928
-38.63376739834958,-60.79858821141757,-355.8647268361354,-482.0,-400.816,-372.48
-38.6336042228057,-60.86511980397431,-354.29734788825016,-380.0,-384.246,-389.76
-38.63344104726181,-60.94839550622004,-478.43965615067515,-380.0,-418.234,-456.5
-38.63327787171793,-60.710645675595146,-381.24647263189604,-389.0,-419.632,-421.182
-38.63311469617404,-60.91588252874033,-424.79170577461105,-380.0,-418.234,-444.668
-38.63295152063016,-60.81649621373856,-347.31477350402855,-380.0,-369.78,-366.744
-38.63278834508627,-60.89125751772125,-383.8509372418432,-380.0,-396.406,-414.272
-38.632625169542386,-60.966448436306486,-497.4507555930515,-380.0,-418.234,-454.664
-38.6324619939985,-60.882876499075614,-371.92211728900537,-380.0,-384.246,-402.44
-38.63229881845461,-60.99863142070466,-506.31122814205446,-380.0,-418.234,-453.644
-38.632135642910725,-60.98117517502012,-505.6360165365877,-380.0,-418.234,-452.828
-38.631972467366836,-60.78297631665048,-368.52846293457253,-389.0,-386.07,-383.412
-38.631809291822954,-60.89317271810943,-385.25571689865535,-380.0,-396.406,-413.252
-38.631646116279065,-60.763448710098565,-380.55278982142295,-389.0,-404.252,-397.55
-38.63148294073518,-60.90310616896694,-400.2416071175485,-380.0,-418.234,-424.472
-38.63131976519129,-60.700267921297424,-381.29585205267455,-389.0,-416.864,-419.652
-38.63115658964741,-60.96770077027773,-495.77720732301765,-380.0,-418.234,-449.156
-38.63099341410352,-60.95973954236819,-487.7700190270666,-380.0,-418.234,-448.34
-38.63083023855964,-60.8536408757307,-345.6659072858464,-380.0,-367.4,-371.24
-38.63066706301575,-60.90755190041301,-406.1659861917662,-380.0,-418.234,-426.716
-38.63050388747187,-60.93532289460928,-452.89006046493745,-380.0,-418.234,-446.912
-38.63034071192798,-60.9717297515478,-497.338486073138,-380.0,-418.234,-446.504
-38.630177536384096,-60.91907153185874,-424.8362758910866,-380.0,-418.234,-438.752
-38.63001436084021,-60.92505124631531,-434.758937675065,-380.0,-418.234,-444.668
-38.629851185296324,-60.86807258717348,-353.7044785973725,-380.0,-384.246,-379.492
-38.629688009752435,-60.97723623545762,-499.4882899074345,-380.0,-418.234,-443.444
-38.62952483420855,-60.83573287511491,-343.332445168291,-380.0,-363.766,-360.472
-38.62936165866466,-60.88139193434728,-366.27021313114943,-380.0,-384.246,-389.792
-38.629198483120774,-60.898699453805484,-389.4715749693238,-380.0,-396.406,-410.804
-38.62903530757689,-61.06802248646872,-412.6059736517625,-380.0,-418.234,-443.036
-38.628872132033,-61.04597204581699,-452.1842383853968,-380.0,-418.234,-442.832
-38.62870895648912,-60.948657564494994,-469.2909706508535,-380.0,-418.234,-442.22
-38.62854578094523,-60.83394690108133,-343.87281448968855,-380.0,-363.766,-359.076
-38.62838260540135,-60.847291730582334,-343.23731008483855,-380.0,-367.4,-359.486
-38.62821942985746,-60.99915935314859,-499.629783441616,-380.0,-418.234,-440.588
-38.62805625431358,-60.91987545715676,-422.00925299117586,-380.0,-418.234,-433.652
-38.62789307876969,-60.95499774044045,-475.85505670115487,-380.0,-418.234,-439.364
-38.627729903225806,-60.86771171918709,-351.5835378948632,-380.0,-384.246,-374.308
-38.627566727681916,-60.939896283547746,-453.94700730263145,-380.0,-418.234,-438.752
-38.627403552138034,-60.82184580049302,-348.8952726951394,-380.0,-369.78,-354.642
-38.627240376594145,-61.02300442663023,-481.8636986075344,-380.0,-418.234,-437.936
-38.62707720105026,-60.931843884853606,-440.0195799877121,-380.0,-418.234,-437.528
-38.62691402550637,-60.93907454640963,-451.24314528046415,-380.0,-418.234,-437.528
-38.62675084996249,-60.870267797788095,-352.59229824211695,-380.0,-384.246,-374.648
-38.6265876744186,-60.79171746102486,-370.9176105682184,-389.0,-379.174,-366.7
-38.62642449887472,-60.973562364955434,-490.7255174401618,-380.0,-418.234,-436.508
-38.62626132333083,-61.02422160948102,-479.1527236406796,-380.0,-418.234,-436.1
-38.62609814778694,-60.809698130777264,-357.61780448505624,-380.0,-369.78,-350.294
-38.62593497224306,-60.80739040635269,-359.49573231667244,-380.0,-369.78,-349.592
-38.62577179669917,-61.001486765115395,-494.62470062316754,-380.0,-418.234,-434.876
-38.62560862115529,-60.94114695188689,-451.51848674228773,-380.0,-418.234,-434.468
-38.6254454456114,-60.832641621160896,-345.1024867119347,-380.0,-363.766,-352.242
-38.625282270067515,-60.8511132260632,-342.91469484390535,-380.0,-367.4,-356.22
-38.625119094523626,-60.91792114685841,-412.6859410811829,-380.0,-418.234,-425.26
-38.624955918979744,-60.844331153423205,-342.6152989709974,-380.0,-367.292,-352.75
-38.624792743435854,-61.01550849443623,-485.0703097696984,-380.0,-418.234,-433.248
-38.62462956789197,-60.83983968415445,-343.222311870839,-380.0,-363.532,-351.406
-38.62446639234808,-60.86981904054851,-350.05314514204224,-380.0,-384.246,-369.56
-38.6243032168042,-60.94605040382784,-455.7805228314721,-380.0,-418.234,-432.376
-38.62414004126031,-60.96908009754139,-482.2935648421258,-380.0,-418.234,-432.144
-38.62397686571643,-60.79124982632693,-375.29028618846826,-389.0,-379.174,-364.51
-38.62381369017254,-61.024937829866495,-474.69987418838423,-380.0,-418.234,-431.244
-38.62365051462866,-60.99104297024161,-491.70896105411634,-380.0,-418.234,-431.128
-38.62348733908477,-60.83218191849611,-345.8846650946912,-380.0,-363.766,-349.176
-38.623324163540886,-60.83027291068177,-346.8138176203827,-380.0,-363.766,-348.358
-38.623160987997,-60.812105235102116,-358.75024280683806,-380.0,-369.78,-346.81
-38.62299781245311,-60.96218181350645,-473.05583482937817,-380.0,-408.954,-430.14
-38.622834636909225,-60.97452739240453,-483.4915345110303,-380.0,-408.954,-429.908
-38.622671461365336,-60.84533516800161,-342.23318204684676,-380.0,-358.12,-348.74
-38.62250828582145,-60.848722824683044,-341.94362320073003,-380.0,-358.12,-349.724
-38.622345110277564,-61.03267239379975,-463.44443247077044,-380.0,-408.954,-429.444
-38.62218193473368,-60.82189861842465,-352.3111321711492,-380.0,-361.234,-346.516
