Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.63327787171793,-60.835899698386854,-342.65650900689025,-380.0,-363.766,-370.57
-38.63311469617404,-60.95561109046802,-490.40568319323177,-380.0,-418.234,-455.888
-38.63295152063016,-60.82682780492043,-343.29175042101286,-380.0,-363.766,-368.294
-38.63278834508627,-60.86186242408665,-353.2996497128374,-380.0,-368.144,-385.576
-38.632625169542386,-60.90472380483003,-409.51056999837084,-380.0,-418.234,-431.0
-38.6324619939985,-61.0259365518879,-481.4078649043903,-380.0,-418.234,-454.256
-38.63229881845461,-60.91183692693987,-421.15444398929026,-380.0,-418.234,-438.548
-38.632135642910725,-60.91355568565693,-423.83909474924263,-380.0,-418.234,-438.956
-38.631972467366836,-60.94461280505617,-474.27576226950305,-380.0,-418.234,-452.42
-38.631809291822954,-60.79149144813761,-361.3583051072633,-389.0,-379.174,-377.068
-38.631646116279065,-60.90107487025485,-401.7553883442067,-380.0,-396.406,-423.656
-38.63148294073518,-60.83047649903363,-343.22055248213826,-380.0,-363.766,-364.942
-38.63131976519129,-60.91367569750493,-422.53757605014124,-380.0,-418.234,-435.896
-38.63115658964741,-60.852694449733676,-346.5848289226905,-380.0,-367.4,-372.32
-38.63099341410352,-60.811265448378165,-350.1920066628096,-380.0,-369.78,-360.89
-38.63083023855964,-60.927872196458345,-445.9105862030271,-380.0,-418.234,-447.524
-38.63066706301575,-60.89642354483162,-392.6703527831188,-380.0,-396.406,-413.66
-38.63050388747187,-60.84498556615329,-343.7464388115691,-380.0,-367.4,-365.32
-38.63034071192798,-60.832875231550574,-343.188265919561,-380.0,-363.766,-363.068
-38.630177536384096,-60.937537545579445,-460.1896113974435,-380.0,-418.234,-445.892
-38.63001436084021,-60.91407844588326,-420.7604659272378,-380.0,-418.234,-431.612
-38.629851185296324,-60.98246008265685,-502.8172076688175,-380.0,-418.234,-443.852
-38.629688009752435,-60.87524883649869,-362.89133066127704,-380.0,-384.246,-385.408
-38.62952483420855,-61.02693892944762,-476.7931286150721,-380.0,-418.234,-443.444
-38.62936165866466,-60.8957635470096,-389.5109342990211,-380.0,-396.406,-408.968
-38.629198483120774,-60.9833456206039,-501.8224089740643,-380.0,-418.234,-443.036
-38.62903530757689,-61.01843581717623,-486.1156103771923,-380.0,-418.234,-443.036
-38.628872132033,-60.82695044182291,-344.88928568217995,-380.0,-363.766,-358.808
-38.62870895648912,-61.002701643778266,-497.93901407544615,-380.0,-418.234,-442.22
-38.62854578094523,-60.933958476467396,-451.1513427646932,-380.0,-418.234,-442.22
-38.62838260540135,-60.896796514681164,-389.44892378296026,-380.0,-396.406,-407.948
-38.62821942985746,-61.07362723121761,-395.6176022457011,-380.0,-418.234,-440.588
-38.62805625431358,-60.95823356087779,-483.2010415305606,-380.0,-418.234,-440.18
-38.62789307876969,-60.9168757170619,-421.34454460977383,-380.0,-418.234,-429.368
-38.627729903225806,-60.919801383678475,-425.966290460521,-380.0,-418.234,-432.632
-38.627566727681916,-60.967127172522474,-490.4717358224298,-380.0,-418.234,-438.752
-38.627403552138034,-60.92765646757951,-438.4554455252445,-380.0,-418.234,-438.548
-38.627240376594145,-60.74950374827914,-394.7194522358016,-389.0,-412.302,-397.426
-38.62707720105026,-60.83981803288618,-342.87459906930883,-380.0,-363.532,-355.688
-38.62691402550637,-61.00192671239687,-495.3499384543938,-380.0,-418.234,-437.528
-38.62675084996249,-60.97488673830895,-493.94614461881184,-380.0,-418.234,-437.324
-38.6265876744186,-60.857251748326306,-346.178471880601,-380.0,-367.4,-362.812
-38.62642449887472,-60.81724446187948,-350.59445306961175,-380.0,-369.78,-352.51
-38.62626132333083,-60.94827246628304,-467.26151016901474,-380.0,-418.234,-436.1
-38.62609814778694,-60.86198174546052,-348.27686730403406,-380.0,-368.144,-365.62
-38.62593497224306,-61.04100288291186,-452.31693413236525,-380.0,-418.234,-435.08
-38.62577179669917,-61.010818613169924,-488.0745270210656,-380.0,-418.234,-434.876
-38.62560862115529,-60.984567926901555,-495.1796606515867,-380.0,-418.234,-434.468
-38.6254454456114,-60.93183876955701,-440.98335003870335,-380.0,-418.234,-434.264
-38.625282270067515,-60.963016558451436,-481.9769702279219,-380.0,-418.234,-434.148
-38.625119094523626,-60.967839188661024,-485.7914485067112,-380.0,-418.234,-434.032
-38.624955918979744,-60.923772763893,-426.7050033535806,-380.0,-418.234,-433.072
-38.624792743435854,-60.80168824493667,-363.1431050681315,-380.0,-372.528,-353.344
-38.62462956789197,-60.924067582562216,-426.4726665703939,-380.0,-418.234,-432.404
-38.62446639234808,-60.90592659676532,-396.44795182813306,-380.0,-418.234,-409.908
-38.6243032168042,-60.815312474275075,-353.4012513285786,-380.0,-369.78,-348.844
-38.62414004126031,-60.846486683976174,-342.3898510436998,-380.0,-367.4,-351.32
-38.62397686571643,-60.89837827695631,-384.0360252494419,-380.0,-396.406,-399.42
-38.62381369017254,-60.7347422703937,-405.84293503658586,-389.0,-418.98,-402.128
-38.62365051462866,-60.845034471229134,-342.2466805598779,-380.0,-367.4,-350.016
-38.62348733908477,-60.93997562570833,-449.1057041261821,-380.0,-418.234,-431.128
-38.623324163540886,-60.82029613424961,-350.8437025735419,-380.0,-369.78,-347.896
-38.623160987997,-60.87869754828108,-358.3008464680614,-380.0,-384.246,-375.012
-38.62299781245311,-60.74974366233603,-403.713652630071,-389.0,-407.074,-395.12
-38.622834636909225,-60.91259135247925,-403.7361016997191,-380.0,-408.954,-415.164
-38.622671461365336,-60.796865918643405,-369.9074110270583,-389.0,-371.274,-357.33
-38.62250828582145,-60.85141464112058,-342.225720713043,-380.0,-358.12,-351.464
-38.622345110277564,-60.813779127376975,-356.08917436784577,-380.0,-361.234,-345.866
-38.62218193473368,-60.79936356819543,-368.3220371925758,-389.0,-371.274,-353.398
-38.62201875918979,-60.90526429477606,-390.5476574942329,-380.0,-408.954,-404.852
-38.62185558364591,-60.95480299821889,-465.214097509201,-380.0,-408.954,-428.572
-38.62169240810202,-60.925190519163905,-421.6507127858379,-380.0,-408.954,-428.136
-38.62152923255814,-61.017249898381934,-475.62504918412503,-380.0,-408.954,-427.904
-38.62136605701425,-60.89775900284089,-378.3245674656903,-380.0,-387.126,-394.948
-38.62120288147037,-60.72040048727664,-411.19652500616223,-389.0,-414.952,-409.138
-38.62103970592648,-60.976997017855076,-482.548375431746,-380.0,-408.954,-426.916
-38.620876530382596,-60.86298540001058,-344.4633066395105,-380.0,-358.864,-358.308
-38.620713354838706,-60.85853765300034,-342.70238000517617,-380.0,-358.12,-354.364
-38.620550179294824,-60.8604182638367,-343.18497708076194,-380.0,-358.12,-354.944
-38.620387003750935,-60.845132965473645,-341.48099696792536,-380.0,-358.12,-345.376
-38.62022382820705,-60.754874148033466,-407.1475789262904,-389.0,-407.074,-391.81
-38.62006065266316,-60.928909982003645,-423.75922673283344,-380.0,-408.954,-425.26
-38.619897477119274,-60.854847225713876,-341.3592185911397,-380.0,-358.12,-350.188
-38.61973430157539,-60.73105450315656,-415.07735292213124,-389.0,-414.506,-403.316
-38.6195711260315,-60.85375251786844,-341.0378154208249,-380.0,-358.12,-349.144
-38.61940795048762,-60.988820942732325,-482.5832142783978,-380.0,-408.954,-424.272
-38.61924477494373,-60.9384909777265,-436.574585976495,-380.0,-408.954,-423.72
-38.61908159939985,-60.902442891080284,-380.4756378251792,-380.0,-387.126,-397.06
-38.61891842385596,-60.97902080319727,-478.54334830216504,-380.0,-408.954,-423.604
-38.61875524831208,-60.91702392744148,-401.77728550325185,-380.0,-408.954,-412.476
-38.61859207276819,-60.8919742328051,-365.76630181505465,-380.0,-387.126,-383.808
-38.618428897224305,-60.87034400314339,-345.8352704515564,-380.0,-374.966,-361.092
-38.618265721680416,-60.809384547563106,-363.5183837204465,-380.0,-361.234,-341.152
-38.618102546136534,-60.84513141945629,-340.9432765960731,-380.0,-358.12,-342.128
-38.617939370592644,-60.910559602730366,-389.9728608490031,-380.0,-408.954,-404.148
-38.61777619504876,-60.86043232443132,-341.03212728455713,-380.0,-358.12,-350.768
-38.61761301950487,-60.947132019625336,-444.76346025180067,-380.0,-408.954,-420.0
-38.61744984396099,-61.01075876800305,-472.79109934811834,-380.0,-408.954,-419.884
-38.6172866684171,-60.74260575805157,-418.3918641068502,-389.0,-410.828,-396.36
-38.61712349287322,-60.74491615711857,-417.9957823419661,-389.0,-407.074,-394.948
-38.61696031732933,-60.883907608131,-354.35542242201376,-380.0,-374.966,-370.768
-38.61679714178545,-60.78029812461833,-394.43142240855866,-389.0,-393.11,-369.696
-38.61663396624156,-60.81189213553287,-362.668183186438,-380.0,-361.234,-339.512
-38.61647079069767,-60.954703718038886,-451.463672096917,-380.0,-408.954,-418.14
-38.61630761515379,-60.75414002149878,-415.5732731086199,-389.0,-407.074,-390.906
-38.6161444396099,-60.89971750769257,-370.87329917328486,-380.0,-387.126,-387.988
-38.615981264066015,-60.931100503295426,-417.0841200322402,-380.0,-408.954,-417.908
-38.615818088522126,-60.83119056763959,-347.15233309918506,-380.0,-354.486,-339.172
-38.61565491297824,-60.74197609406055,-422.00950184007195,-389.0,-410.828,-396.528
-38.615491737434354,-60.85981761666752,-339.14497232660483,-380.0,-358.12,-347.868
-38.61532856189047,-60.86935347351504,-341.88562216883577,-380.0,-374.966,-356.22
-38.61516538634658,-60.92986681522707,-413.114445321004,-380.0,-408.954,-416.716
-38.6150022108027,-60.878776150103256,-347.11529011006724,-380.0,-374.966,-363.528
-38.61483903525881,-60.91470346716561,-389.15462807680257,-322.0,-400.95,-402.764
-38.61467585971493,-60.761909195146416,-413.926832352675,-389.0,-394.08,-385.23
-38.61451268417104,-60.936533752790346,-421.50159995942016,-322.0,-400.95,-415.524
-38.61434950862716,-60.78901370542853,-389.46933512906355,-389.0,-363.854,-358.922
